crsp_fundno,model,n_obs,alpha_daily,alpha_annual,alpha_p,gamma,gamma_t,gamma_p,r2,gamma_q
031217,HenrikssonMerton,6876,2.6110382296297625e-05,0.006579816338667001,0.6391853666731955,-0.0022209337014476305,-0.16814417540847776,0.8664698570981261,0.923416917755552,0.9418150620631806
031235,HenrikssonMerton,6876,0.0001472511076903647,0.037107279137971905,0.006267639767552286,-0.01918790406312882,-1.3672001109232275,0.17156259060146295,0.8991531469614654,0.4384670819384315
031298,HenrikssonMerton,4923,1.0467306655870061e-05,0.0026377612772792553,0.8314658933919272,-0.014454967822170749,-1.1933382260454353,0.23273693740422696,0.972167040415427,0.5059498639222325
031302,HenrikssonMerton,6876,0.0005762228804919772,0.14520816588397825,2.515633647269368e-10,-0.10996184157030871,-4.18958055142531,2.7947056395630054e-05,0.1316562911419238,0.0006986764098907513
031304,HenrikssonMerton,6876,0.00011867493321937733,0.029906083171283085,0.0009902078722348242,-0.013223198185983213,-1.3550964400482708,0.1753868327753726,0.017030107807566863,0.4384670819384315
031363,HenrikssonMerton,5477,-0.00011133085206692013,-0.028055374720863873,0.19585223359641313,0.05175704566002727,2.7290346159845673,0.0063520035783367935,0.900730137688777,0.05293336315280661
031456,HenrikssonMerton,6319,3.7857534165284305e-05,0.009540098609651645,0.2850794658098853,-0.002334045706339088,-0.2714779465247239,0.7860234591623754,0.9759997356236545,0.9221938230422931
031461,HenrikssonMerton,6319,-2.8389627534860734e-05,-0.007154186138784905,0.0327533977171354,0.004934320593909775,1.4895196513681177,0.13635058249839693,0.996916337460092,0.4260955703074904
031462,HenrikssonMerton,6319,-1.0675257157348967e-06,-0.000269016480365194,0.915641808419552,-0.0015170702992134421,-0.5798152391644551,0.5620392197688534,0.9989406481530532,0.7589157566705534
031950,HenrikssonMerton,6876,6.96432096393346e-05,0.01755008882911232,0.512043532527459,-0.0008413196793076311,-0.03426148894375549,0.9726686341984877,0.8598805196909697,0.9925190144882529
031959,HenrikssonMerton,6876,5.381193175275304e-05,0.013560606801693766,0.37716469237910555,-0.008502998075862508,-0.5517233738745475,0.5811378932261715,0.9372566041609426,0.7589157566705534
036540,HenrikssonMerton,4569,-5.597202543057574e-05,-0.014104950408505087,0.6432291074563595,-0.021444388126541293,-0.7977711736941423,0.4250032923603939,0.8025588929274091,0.6448876993738243
052301,HenrikssonMerton,3683,-2.8320135653391027e-05,-0.007136674184654539,0.026834923174417012,0.007497420472232374,2.6128172635926292,0.008979930183317318,0.9972745888966638,0.05612456364573324
052819,HenrikssonMerton,3627,0.0003721502908954487,0.09378187330565307,0.011865420514875411,-0.07785704832278413,-1.580111926955234,0.11408123639459396,0.1559146918683706,0.4223798176035763
052832,HenrikssonMerton,3646,-9.977171458915126e-05,-0.025142472076466117,0.47014430112488315,0.008301877932673809,0.23845196884562442,0.8115305642772179,0.8803676613555302,0.9221938230422931
053175,HenrikssonMerton,3599,-8.14439401171798e-06,-0.002052387290952931,0.6269604385084864,-0.0013208036107296376,-0.2609563143322686,0.7941261963415989,0.998784911464757,0.9221938230422931
064961,HenrikssonMerton,2578,0.000303484721858103,0.07647814990824195,0.3242742382911933,-0.06197872302573376,-0.7530474689421695,0.451421389561677,0.41405755142033995,0.6448876993738243
087002,HenrikssonMerton,2467,0.0005071771797749307,0.12780864930328253,0.015552702372333919,-0.10013883369420334,-1.5468072833189765,0.12190972342785987,0.17796978059043322,0.4223798176035763
091487,HenrikssonMerton,2154,0.00019596507700093155,0.04938319940423475,0.3603417496957506,-0.0743776133460725,-1.2754542367998698,0.2021485121100982,0.7220500265185463,0.48130598121451956
093577,HenrikssonMerton,1926,0.0002805044813956584,0.07068712931170593,0.09298872929942317,-0.06891854227985872,-1.4263590073006813,0.15376473997845513,0.3418529469060817,0.4282672338226895
100948,HenrikssonMerton,741,1.4090787380826701e-05,0.0035508784199683287,0.3440182644196148,-0.00324368470944519,-0.9827274390006379,0.325741602335592,0.9990329413197113,0.6143906069528233
004717,TreynorMazuy,6876,6.484170191804738e-05,0.01634010888334794,0.03009312468757933,-0.13234162086943257,-1.320819286935875,0.18656162719978697,0.9555273240417215,0.4048259146896899
004905,TreynorMazuy,6876,8.099645086455298e-05,0.02041110561786735,0.09993018920391582,-0.28079462413340706,-0.9761609972361845,0.3289846878096977,0.8671539907467682,0.5672149789822375
005079,TreynorMazuy,6876,5.749855339528387e-06,0.0014489635455611537,0.8694468296453463,-0.016794021892569067,-0.1589540991264098,0.8737050375345987,0.9556162466616075,0.9101094140985403
005846,TreynorMazuy,6350,0.0001247666202796455,0.031441188310470665,0.000209745464762947,-0.18171642822501843,-1.2656356801543696,0.205643545745526,0.04093421502689676,0.4048259146896899
007826,TreynorMazuy,6876,-6.451142052907289e-05,-0.016256877973326367,0.10564451791581965,0.34272225917888566,3.0827840378449998,0.0020507392033330104,0.9568978038208834,0.023127297520055524
009980,TreynorMazuy,6876,0.00012082648862000127,0.03044827513224032,0.13912608475705587,-0.4981147126305132,-1.7912669598503503,0.07325046549045362,0.7268131761971134,0.26160880532304864
010063,TreynorMazuy,5684,-6.473949089751095e-05,-0.016314351706172757,0.18809491111477072,-0.36936245571900295,-1.2972481702690342,0.1945458113744265,0.9085380516595475,0.4048259146896899
011809,TreynorMazuy,6876,0.00012325149946430157,0.031059377865003995,0.0007137538812717818,-0.28135346926560234,-2.168499859447338,0.03012067530354807,0.9282004743030878,0.12550281376478364
011974,TreynorMazuy,6876,0.00011805179653083573,0.029749052725770605,0.04041795262199586,-0.2034454302669514,-0.6212371574767679,0.5344435946470854,0.9055815821230402,0.6680544933088567
011980,TreynorMazuy,6876,7.313439071089195e-05,0.01842986645914477,0.09079583746693363,-0.155008549504152,-0.9372632386480139,0.3486231676025361,0.9492686463933124,0.5810386126708934
012009,TreynorMazuy,6876,9.97919668605954e-05,0.025147575648870043,0.0006997433290578081,-0.24382922859628767,-1.4478506212815376,0.14765883192299092,0.009563079886297676,0.3691470798074773
012017,TreynorMazuy,6876,9.430257039176457e-05,0.023764247738724674,0.33932721631285967,0.5207754769128039,1.5619718338045643,0.11829462434002963,0.822952801613576,0.3479253657059695
012026,TreynorMazuy,6876,0.0001820439191346409,0.045875067621929506,0.05933410680748548,-0.622106078289612,-1.8458358715324568,0.06491604034848403,0.657701407753182,0.2496770782634001
013216,TreynorMazuy,6876,0.00012705026645389264,0.03201666714638095,0.0002363219177897773,-0.5027783762914804,-3.4111474543287486,0.000646900971996706,0.9441633220884952,0.01617252429991765
014031,TreynorMazuy,6876,0.00014238278825668275,0.035880462640684056,3.063214859493649e-05,-0.37199829576229504,-3.2647633107489993,0.0010955558220332832,0.9474663056136428,0.01825926370055472
019609,TreynorMazuy,6876,4.1184899699454414e-05,0.010378594724262512,0.3861029916899562,0.20470507770916246,1.482330457886645,0.13825238782689897,0.9049285246147791,0.3691470798074773
021120,TreynorMazuy,6876,0.00012385839182753582,0.031212314740539027,0.20281025679159959,-0.2870638945852989,-0.9827804828220296,0.32571548956827034,0.7861620071221852,0.5672149789822375
022641,TreynorMazuy,6876,-2.2987993904943673e-05,-0.0057929744640458055,0.7954058494034622,-0.006611250791874634,-0.020236162739136268,0.983854980091819,0.8435989995602633,0.983854980091819
024805,TreynorMazuy,6350,7.685080670369188e-05,0.019366403289330356,0.4133004769556531,0.2852778215191331,1.1030720725596626,0.2699958676662214,0.8264840359806096,0.4999923475300396
024833,TreynorMazuy,5325,8.342630234792388e-05,0.021023428191676817,0.08294516033147357,-0.17839281651238076,-1.4021250196756523,0.16087791696233,0.9286047766916007,0.3830426594341191
026970,TreynorMazuy,6876,-8.65814500336821e-06,-0.002181852540848789,0.8227591637434628,0.09161793752537695,0.4784723631369449,0.6323140401548372,0.9406971524857478,0.7650061241781758
026982,TreynorMazuy,6876,5.8483291656051485e-06,0.0014737789497324973,0.7653370266479175,-0.047234098776924416,-0.7362827546624771,0.4615586390047861,0.985235549921895,0.607313998690508
026985,TreynorMazuy,6876,1.6366561420141224e-05,0.004124373477875589,0.6624026122647709,0.08486659531436502,0.6317926118683885,0.5275224019689967,0.9506247854678641,0.6680544933088567
026998,TreynorMazuy,6876,0.0001103265742234598,0.02780229670431187,0.03657783376977016,-0.2393032227481523,-1.7537055005650544,0.07948098254169403,0.9118265951232514,0.26493660847231343
027045,TreynorMazuy,6876,3.7412939976421474e-05,0.009428060874058211,0.39457587562661456,-0.15304673848016503,-0.759863360387537,0.44733626473534116,0.9424020695957456,0.6061728697731814
027354,TreynorMazuy,5367,-4.654181976660958e-05,-0.011728538581185615,0.4653436744481143,0.26998898776379854,1.4524139856713887,0.14638652985471656,0.9083675697773682,0.3691470798074773
030782,TreynorMazuy,6874,-9.326361739936155e-05,-0.023502431584639112,0.09131786256000281,0.014773089580938738,0.05508691119146194,0.9560692236672814,0.9053122047077029,0.9755808404768178
031187,TreynorMazuy,6876,2.4305566898191576e-05,0.006125002858344277,0.7084255471820629,-0.11656572611399096,-0.3667072676032637,0.7138373849139936,0.7900634300528113,0.7931526499044372
031208,TreynorMazuy,6132,-3.6353135908455614e-05,-0.009160990248930814,0.38343958833703384,-0.050294867872596294,-0.3283805252664632,0.7426239659246436,0.9484843083362692,0.8071999629615693
031217,TreynorMazuy,6876,2.899912465218496e-05,0.007307779412350611,0.46249098682906453,-0.0787419134502434,-0.46405946205793785,0.6426051443096676,0.9234290956017516,0.7650061241781758
031235,TreynorMazuy,6876,0.00011109757758534947,0.027996589551508067,0.0011141057360910041,-0.285552491368657,-1.6390215861598554,0.10120876416698119,0.899391644470293,0.3162773880218162
031298,TreynorMazuy,4923,-2.1204761044729554e-05,-0.005343599783271848,0.4967381301722298,-0.17394210728716542,-1.252165743745666,0.21050947563863875,0.97220971548851,0.4048259146896899
031302,TreynorMazuy,6876,0.00031565942711785083,0.07954617563369841,1.1282028180750788e-12,-1.2916669862798194,-5.516443958766093,3.4592772959136584e-08,0.14932652672632607,1.7296386479568292e-06
031304,TreynorMazuy,6876,9.762815674215958e-05,0.024602295499024214,4.554712811430543e-07,-0.22177247301957734,-2.325714816806002,0.02003376952091187,0.020952837453627082,0.10016884760455935
031363,TreynorMazuy,5477,2.3222278871599064e-05,0.005852014275642964,0.7167396640284545,0.4747040766770467,2.5346437350796625,0.011256173821441486,0.9007750445831897,0.06253429900800826
031456,TreynorMazuy,6319,3.086082716093951e-05,0.007776928444556756,0.2356983374219862,-0.016958294813382756,-0.18318036261312223,0.8546565020236171,0.9759995164461676,0.9092090447059757
031461,TreynorMazuy,6319,-1.33184350202655e-05,-0.0033562456251069062,0.13979773373230875,0.034016046104773656,0.8561977668964103,0.3918883975874137,0.9969149801284614,0.5948168013814206
031462,TreynorMazuy,6319,-3.0856895021537502e-06,-0.000777593754542745,0.6157747606590456,-0.027615774232365463,-0.7578046743821355,0.44856792363215425,0.9989416676035315,0.6061728697731814
031950,TreynorMazuy,6876,0.00010279923736678504,0.025905407816429832,0.17520858664321082,-0.23692964725063925,-0.8657794769274968,0.3866111058882039,0.8599405247166597,0.5948168013814206
031959,TreynorMazuy,6876,4.710138404405339e-05,0.011869548779101454,0.2552507994949661,-0.1866825153383156,-0.8337228982888676,0.40443715160722105,0.9373177957308501,0.5948168013814206
036540,TreynorMazuy,4569,-0.00012785121397102214,-0.03221850592069758,0.13263289727055483,-0.10759395809956238,-0.3860757991080977,0.6994405325117679,0.8025149555184996,0.7931526499044372
052301,TreynorMazuy,3683,-5.234543001784332e-06,-0.0013191048364496517,0.592883079785633,0.0397145863583131,1.268753804579022,0.20452888587408558,0.9972693445825951,0.4048259146896899
052819,TreynorMazuy,3627,0.00021765781276540807,0.05484976881688283,1.6968251285595814e-06,-1.0660808747367436,-2.2690951503996795,0.02326254022912453,0.18875791263829322,0.10573881922329331
052832,TreynorMazuy,3646,-4.688060636892025e-05,-0.011813912804967902,0.5745387095052455,-0.16742957029229688,-0.42925911846732595,0.6677346643771964,0.8804002473805519,0.7764356562525541
053175,TreynorMazuy,3599,-6.575918891378831e-06,-0.0016571315606274655,0.4390683496346375,-0.05200475730385247,-0.7866014753660244,0.4315151953423755,0.9987895730203882,0.6061728697731814
064961,TreynorMazuy,2578,0.00015688481461069637,0.03953497328189549,0.3337092482329953,-0.6588605942049732,-0.8336549964342461,0.40447542493936595,0.4145316575310948,0.5948168013814206
087002,TreynorMazuy,2467,0.00030791131452612077,0.07759365126058243,0.00027291105439972667,-1.311269297511129,-2.9442081440006147,0.0032378216528077737,0.19867200229898208,0.023127297520055524
091487,TreynorMazuy,2154,8.343245044615531e-05,0.021024977512431136,0.4278109515764933,-1.2255340191209556,-2.9974126245629953,0.0027228189868906934,0.726605906661487,0.023127297520055524
093577,TreynorMazuy,1926,0.00012114908545969808,0.030529569535843914,0.03518863801165948,-0.7992419529500014,-2.6652753165045535,0.007692531641026767,0.3566683710640369,0.0480783227564173
100948,TreynorMazuy,741,7.773709804671592e-06,0.001958974870777241,0.4359309281066759,-0.0514588542672672,-2.962054732212386,0.0030559345655925382,0.9990357812642652,0.023127297520055524
