crsp_fundno,model,n_obs,alpha_daily,alpha_annual,alpha_t,alpha_p,r2,beta_mktrf,beta_smb,beta_hml,beta_mom,alpha_q
007826,CAPM,6876,2.0543519821105997e-05,0.0051769669949187115,0.24948554564230307,0.8029852203972554,0.7659582773781761,1.0323383757283386,,,,0.8886396930998621
009980,CAPM,6876,7.7497061834224e-05,0.01952925958222445,1.0458600345492925,0.2956256585615007,0.7061898935089701,0.7880045739850509,,,,0.5865918088003087
010063,CAPM,5684,-0.0001130070355575485,-0.02847777296050222,-2.644814935331917,0.008173560621131904,0.9042352107072532,0.8320809068592976,,,,0.1021695077641488
011809,CAPM,6876,0.00011396409636945892,0.028718952285103648,2.6543916030330945,0.00794515618904664,0.8985330683590744,0.8805210996032655,,,,0.1021695077641488
011974,CAPM,6876,0.00010683249897205921,0.02692178974095892,1.9567734373526597,0.0503741113794396,0.839231716421505,0.7688385449868418,,,,0.251870556897198
011980,CAPM,6876,4.219038104779934e-05,0.010631976024045434,0.9078814272478616,0.3639408712483856,0.9209011769481348,1.076021184970763,,,,0.6573069956695066
012009,CAPM,6876,6.272697394724234e-05,0.01580719743470507,2.206546445090932,0.027345762015068033,0.0009548532939998022,-0.004331877187384491,,,,0.19833766724980426
012017,CAPM,6876,0.00013852260414482832,0.03490769624449674,1.217194728776264,0.22353013528402554,0.7514754625000546,1.299710479717807,,,,0.5080230347364217
012026,CAPM,6876,9.477952530767742e-05,0.02388444037753471,1.05880811199598,0.28968717852726233,0.6372850382070676,0.7763338132157582,,,,0.5865918088003087
013216,CAPM,6876,5.515999625129983e-05,0.013900319055327558,1.6812410785975775,0.09271609746349362,0.9409215540783231,0.889498902422859,,,,0.33415124069751273
014031,CAPM,6876,8.111470807218787e-05,0.020440906434191344,2.200558793917614,0.027767273414972597,0.9351497408021782,0.9569106584521777,,,,0.19833766724980426
019609,CAPM,6876,7.333583815994371e-05,0.018480631216305814,1.4659984271367101,0.14264871535639273,0.8904569425693762,0.8914494330477505,,,,0.3753913562010335
