year,portfolio,n_funds,n_obs,alpha_daily,alpha_annual,alpha_t,alpha_p
2017,Q2,9,251,0.00023036144063312835,0.05805108303954834,2.4891007174641397,0.012806667992790814
2018,Q2,9,251,-4.6501171492594e-05,-0.011718295216133687,-1.1958798757990237,0.2317434394244987
2019,Q2,10,252,9.796069700359848e-05,0.024686095644906817,1.3331493519279234,0.1824827964622182
2020,Q2,10,253,-4.3325153423194616e-05,-0.010917938662645043,-0.503304576609187,0.6147501492524856
2021,Q2,10,252,2.7593072671490805e-05,0.006953454313215683,0.5708799261976889,0.5680810390767699
2022,Q2,10,251,3.41712929820556e-05,0.00861116583147801,0.19496629908680435,0.845419330740151
2023,Q2,10,250,0.00011238522177078926,0.028321075886238892,1.257766505716603,0.20847621228347712
2024,Q2,10,252,2.670579154394926e-05,0.006729859469075214,0.2869901609336897,0.7741198539346424
2025,Q2,10,250,-5.27339654281443e-05,-0.013288959287892364,-0.4062524614853395,0.6845571109478215
2000,Q3,5,252,1.807844470151947e-05,0.0045557680647829064,0.11862491511079001,0.9055725253205509
2001,Q3,5,248,4.091660022384854e-05,0.010310983256409832,0.5104796981420303,0.6097154341868611
2002,Q3,6,252,-9.013013076943554e-05,-0.022712792953897755,-0.6909923802064531,0.4895703295608985
2003,Q3,7,252,0.00010285592774533938,0.025919693791825522,2.7191356229938477,0.006545276502681735
2004,Q3,7,252,1.0899683464430686e-05,0.002746720233036533,0.338704152258824,0.7348326123259179
2005,Q3,7,252,2.205077338115753e-05,0.005556794892051698,0.540652333313817,0.5887472391509534
2006,Q3,7,251,-4.5556644690732164e-05,-0.011480274462064505,-0.6576392049721381,0.5107699961617522
2007,Q3,8,251,-7.826605266589688e-05,-0.019723045271806013,-0.9138858321536314,0.3607768389784536
2008,Q3,8,253,-0.00023274614525980474,-0.05865202860547079,-1.7000382981344804,0.08912372194316506
2009,Q3,8,252,0.00035006756138517887,0.08821702546906507,4.79925055224495,1.5926045693959415e-06
2010,Q3,8,252,2.2153672415781153e-05,0.005582725448776851,0.4498734659774771,0.6528016810267782
2011,Q3,8,252,9.377507815198742e-05,0.02363131969430083,1.7821926768387262,0.07471781661244216
2012,Q3,9,250,2.8370409263103195e-05,0.007149343134302005,0.6335913881591427,0.5263475224817364
2013,Q3,9,252,-2.8078883858143587e-05,-0.007075878732252184,-0.5200923041221336,0.6029992420470488
2014,Q3,9,252,-4.144459898053458e-05,-0.010444038943094714,-1.2441672275697793,0.21343802263129252
2015,Q3,9,252,6.341469493281428e-05,0.0159805031230692,1.4745008398507036,0.1403467917457231
2016,Q3,9,252,-2.57744357613702e-05,-0.00649515781186529,-0.6024439222730961,0.5468786806399057
2017,Q3,9,251,3.723756730329561e-05,0.009383866960430493,1.4285453805048707,0.15313494247165146
2018,Q3,10,251,-7.987109501538398e-05,-0.020127515943876764,-2.0108453404707416,0.04434179530710541
2019,Q3,9,252,-2.5782829846673682e-05,-0.006497273121361768,-0.8332476001311805,0.4047051020696286
2020,Q3,9,253,-9.577375144105682e-05,-0.02413498536314632,-1.043047086215083,0.2969264855665912
2021,Q3,9,252,-8.291332893739891e-05,-0.020894158892224526,-0.9524128539345349,0.3408876430859473
2022,Q3,9,251,-0.00019659597811433604,-0.04954218648481268,-2.9897283390896634,0.002792256606863383
2023,Q3,9,250,-4.221849197158096e-05,-0.010639059976838403,-0.43264349660572016,0.665273784591349
2024,Q3,10,252,-0.00013052692540249127,-0.0328927852014278,-1.5512503263876622,0.12084170585237416
2025,Q3,10,250,-3.0809322619458346e-05,-0.007763949300103503,-0.3952327948285592,0.6926710919834369
2000,Q4,6,252,0.00036476537212097723,0.09192087377448627,2.3681459935798643,0.017877479843439674
2001,Q4,6,248,0.00026183000527425294,0.06598116132911173,2.8492102653567475,0.00438279045804385
2002,Q4,7,252,-8.908271345547773e-06,-0.002244884379078039,-0.11104856021682459,0.9115778393469288
2003,Q4,7,252,8.980937198176316e-05,0.022631961739404318,0.9735904926607544,0.330259908797221
2004,Q4,7,252,7.156818922932793e-05,0.01803518368579064,1.0275376431238885,0.3041673695576087
2005,Q4,7,252,-6.808176211168507e-06,-0.0017156604052144637,-0.10087994361913229,0.9196457645487529
2006,Q4,8,251,-0.00011072352984599857,-0.02790232952119164,-1.2638880327915822,0.20627021772512122
2007,Q4,8,251,-2.283934192531578e-05,-0.005755514165179576,-0.4415419349321244,0.6588207096665617
2008,Q4,8,253,-0.00013890666567322263,-0.0350044797496521,-1.5809650937801027,0.11388601919084167
2009,Q4,8,252,0.0001471151168795462,0.037073009453645646,3.8262524585164153,0.00013010885736862112
2010,Q4,8,252,-3.189871910756815e-05,-0.008038477215107174,-0.36399017138557616,0.7158653488051356
2011,Q4,8,252,-0.00019385123997078119,-0.04885051247263686,-1.434313024924903,0.15148295503323866
2012,Q4,8,250,5.249786933857691e-05,0.01322946307332138,0.9144964560594284,0.3604560392108134
2013,Q4,9,252,8.783491843679565e-05,0.022134399446072504,1.0741671506715869,0.28274777236533677
2014,Q4,9,252,-2.8196573456589044e-05,-0.00710553651106044,-0.6173290368891501,0.537017718096346
2015,Q4,9,252,2.5653616519481212e-05,0.006464711362909266,0.9941942803746121,0.3201282921425419
2016,Q4,9,252,-7.491010114516074e-05,-0.018877345488580506,-0.875021691582034,0.38156210321039885
2017,Q4,9,251,5.5662963861171714e-05,0.014027066893015272,1.457697769664635,0.14492386699675744
2018,Q4,9,251,-0.0001366162513818737,-0.03442729534823217,-1.955113218815431,0.05056970836420266
2019,Q4,10,252,-2.1998376639642938e-05,-0.00554359091319002,-0.639037468666678,0.5227985572995251
2020,Q4,10,253,0.00010623831225117901,0.02677205468729711,0.5568691841783324,0.5776168104439481
2021,Q4,10,252,0.00021677666149270877,0.05462771869616261,3.1822628331562868,0.001461291414052705
2022,Q4,10,251,-0.00022254063775112957,-0.05608024071328465,-1.8328003077273731,0.06683227339165296
2023,Q4,10,250,2.5064157976586296e-05,0.006316167810099747,0.6428613257489059,0.5203140860896363
2024,Q4,10,252,-7.040287345364603e-05,-0.0177415241103188,-1.0605642797123958,0.28888796310327414
2025,Q4,10,250,-2.1805087720734162e-05,-0.005494882105625009,-0.5876854463153538,0.5567434460108018
2000,Q5,6,252,0.0006005844337266104,0.15134727729910583,2.2355493129217963,0.025381307983009582
2001,Q5,6,248,2.1380989614139105e-05,0.005388009382763055,0.07957047101268888,0.9365788814446783
2002,Q5,7,252,9.052461423293104e-05,0.022812202786698623,0.8464303441948994,0.39731271666898327
2003,Q5,7,252,-5.697513819450604e-05,-0.014357734825015522,-0.5000312682303021,0.6170530607046467
2004,Q5,7,252,0.00013952566867513684,0.03516046850613448,1.484525393320555,0.13766959160412753
2005,Q5,8,252,0.0002646011240277567,0.06667948325499469,1.2521542643565464,0.2105136577218002
2006,Q5,8,251,-9.03506342709021e-05,-0.02276835983626733,-0.9595189613652311,0.33729737213435773
2007,Q5,8,251,-2.93274282575993e-05,-0.007390511920915024,-0.3051877529684463,0.7602231594723251
2008,Q5,8,253,-6.485171092290561e-05,-0.01634263115257221,-0.5175955163611594,0.604740510713174
2009,Q5,8,252,-0.00021260193179662432,-0.05357568681274933,-2.427502053788092,0.01520320076773657
2010,Q5,8,252,9.29664105557041e-05,0.023427535460037435,0.8531784586612691,0.39356034724290745
2011,Q5,8,252,0.00013958910727692543,0.035176455033785206,1.6799168999520502,0.09297348517858045
2012,Q5,9,250,0.00012095805612306769,0.030481430143013057,2.4744677669571993,0.013343486097706402
2013,Q5,9,252,8.572833091007776e-05,0.021603539389339593,1.1483572165295814,0.25082112790176103
2014,Q5,9,252,5.24804593699043e-05,0.013225075761215883,0.5218046516254781,0.6018063506111084
2015,Q5,9,252,0.00010531441478833694,0.02653923252666091,1.5671622987492817,0.11707676034795177
2016,Q5,9,252,-0.00011943715764682389,-0.03009816372699962,-0.7470824826461853,0.455013773468689
2017,Q5,10,251,0.00018853823035693514,0.047511634049947654,2.530393614857512,0.011393463049126444
2018,Q5,10,251,-8.677935307501359e-05,-0.021868396974903427,-0.5313277868164067,0.5951916532501458
2019,Q5,10,252,4.14490078182555e-05,0.010445149970200386,0.4321002858392081,0.6656685269548426
2020,Q5,10,253,0.00035081953779472503,0.08840652352427071,1.1677423634125743,0.24291070315465968
2021,Q5,10,252,0.00013852007565438255,0.034907059064904405,0.6116183815966487,0.5407902735510164
2022,Q5,10,251,-0.0002043867478963317,-0.051505460469875586,-1.1155504367688518,0.2646146176363299
2023,Q5,10,250,-0.00019590942571807667,-0.04936917528095532,-1.8185625989740837,0.0689781882302672
2024,Q5,10,252,-0.00015450782569836273,-0.03893597207598741,-1.0003590087314935,0.317136799844123
2025,Q5,10,250,4.918193140227581e-05,0.012393846713373504,0.6591150213292541,0.5098219104015589
2000,Q5-Q1,5,252,-0.0001607863674694706,-0.04051816460230659,-0.4468846626002066,0.6549583384985488
2001,Q5-Q1,5,248,0.00027832545535923535,0.0701380147505273,0.8721603735320491,0.3831208938596624
2002,Q5-Q1,6,252,0.0001707662867118659,0.04303310425139021,0.8955557582097828,0.3704900735449813
2003,Q5-Q1,7,252,-3.282818285543432e-05,-0.008272702079569448,-0.31116724273831237,0.755673484227976
2004,Q5-Q1,7,252,0.00019428032904542477,0.04895864291944704,1.1471138117825004,0.25133458625492855
2005,Q5-Q1,7,252,5.189132482200822e-05,0.013076613855146071,0.20464646468132314,0.8378483500264435
2006,Q5-Q1,7,251,-9.019423281963789e-05,-0.02272894667054875,-0.8383184045116595,0.4018519020713136
